Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,1,B,2022-04-01T12:00:00,97.5,0.58333,0,0.49402,0.58333,97.5,633324,0.122684,-0.21424
global-analysis-forecast-phy-001-024_1650864290144.nc,2,B,2022-04-01T12:00:00,97.58334,0.58333,0,0.49402,0.58333,97.58334,633324,0.120243,-0.200812
global-analysis-forecast-phy-001-024_1650864290144.nc,3,B,2022-04-01T12:00:00,97.66666,0.58333,0,0.49402,0.58333,97.66666,633324,0.111698,-0.207526
global-analysis-forecast-phy-001-024_1650864290144.nc,6,B,2022-04-01T12:00:00,97.91666,0.58333,0,0.49402,0.58333,97.91666,633324,-0.046388,-0.288705
global-analysis-forecast-phy-001-024_1650864290144.nc,7,B,2022-04-01T12:00:00,98.0,0.58333,0,0.49402,0.58333,98.0,633324,-0.023194,-0.26307
global-analysis-forecast-phy-001-024_1650864290144.nc,8,B,2022-04-01T12:00:00,98.08334,0.58333,0,0.49402,0.58333,98.08334,633324,-0.017701,-0.260018
global-analysis-forecast-phy-001-024_1650864290144.nc,9,B,2022-04-01T12:00:00,98.16666,0.58333,0,0.49402,0.58333,98.16666,633324,-0.003052,-0.245369
global-analysis-forecast-phy-001-024_1650864290144.nc,10,B,2022-04-01T12:00:00,98.25,0.58333,0,0.49402,0.58333,98.25,633324,0.007324,-0.224006
global-analysis-forecast-phy-001-024_1650864290144.nc,11,B,2022-04-01T12:00:00,98.33334,0.58333,0,0.49402,0.58333,98.33334,633324,0.01587,-0.203253
global-analysis-forecast-phy-001-024_1650864290144.nc,12,B,2022-04-01T12:00:00,98.41666,0.58333,0,0.49402,0.58333,98.41666,633324,0.019532,-0.191046
global-analysis-forecast-phy-001-024_1650864290144.nc,13,B,2022-04-01T12:00:00,98.5,0.58333,0,0.49402,0.58333,98.5,633324,0.023804,-0.173345
global-analysis-forecast-phy-001-024_1650864290144.nc,14,B,2022-04-01T12:00:00,98.58334,0.58333,0,0.49402,0.58333,98.58334,633324,0.03235,-0.156255
global-analysis-forecast-phy-001-024_1650864290144.nc,15,B,2022-04-01T12:00:00,98.66666,0.58333,0,0.49402,0.58333,98.66666,633324,0.036012,-0.145268
