Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,chl [mg m-3],depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,1,B,2022-04-01T12:00:00,97.5,0.5,0,0.1306,0.49402,0.5,97.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,2,B,2022-04-01T12:00:00,97.75,0.5,0,0.13452,0.49402,0.5,97.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,3,B,2022-04-01T12:00:00,98.0,0.5,0,0.13445,0.49402,0.5,98.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,4,B,2022-04-01T12:00:00,98.25,0.5,0,0.13584,0.49402,0.5,98.25,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,5,B,2022-04-01T12:00:00,98.5,0.5,0,0.14061,0.49402,0.5,98.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,6,B,2022-04-01T12:00:00,98.75,0.5,0,0.15174,0.49402,0.5,98.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,7,B,2022-04-01T12:00:00,99.0,0.5,0,0.20379,0.49402,0.5,99.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,8,B,2022-04-01T12:00:00,97.5,0.75,0,0.13904,0.49402,0.75,97.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,10,B,2022-04-01T12:00:00,98.0,0.75,0,0.1407,0.49402,0.75,98.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,11,B,2022-04-01T12:00:00,98.25,0.75,0,0.14196,0.49402,0.75,98.25,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,12,B,2022-04-01T12:00:00,98.5,0.75,0,0.14972,0.49402,0.75,98.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,13,B,2022-04-01T12:00:00,98.75,0.75,0,0.16505,0.49402,0.75,98.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,14,B,2022-04-01T12:00:00,99.0,0.75,0,0.18978,0.49402,0.75,99.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,17,B,2022-04-01T12:00:00,98.0,1.0,0,0.14396,0.49402,1.0,98.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,18,B,2022-04-01T12:00:00,98.25,1.0,0,0.14579,0.49402,1.0,98.25,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,19,B,2022-04-01T12:00:00,98.5,1.0,0,0.15447,0.49402,1.0,98.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,20,B,2022-04-01T12:00:00,98.75,1.0,0,0.17097,0.49402,1.0,98.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,23,B,2022-04-01T12:00:00,97.75,1.25,0,0.1476,0.49402,1.25,97.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,24,B,2022-04-01T12:00:00,98.0,1.25,0,0.14511,0.49402,1.25,98.0,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,25,B,2022-04-01T12:00:00,98.25,1.25,0,0.14793,0.49402,1.25,98.25,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,26,B,2022-04-01T12:00:00,98.5,1.25,0,0.1577,0.49402,1.25,98.5,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,27,B,2022-04-01T12:00:00,98.75,1.25,0,0.16984,0.49402,1.25,98.75,633324
global-analysis-forecast-bio-001-028-daily_1650863123357.nc,29,B,2022-04-01T12:00:00,97.5,1.5,0,0.13806,0.49402,1.5,97.5,633324
