Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],thetao [degrees_C],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-phy-001-024_1650864189395.nc,1,B,2022-04-01T12:00:00,97.5,0.58333,0,0.49402,0.58333,97.5,30.471236,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,2,B,2022-04-01T12:00:00,97.58334,0.58333,0,0.49402,0.58333,97.58334,30.512986,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,3,B,2022-04-01T12:00:00,97.66666,0.58333,0,0.49402,0.58333,97.66666,30.586962,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,6,B,2022-04-01T12:00:00,97.91666,0.58333,0,0.49402,0.58333,97.91666,30.741508,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,7,B,2022-04-01T12:00:00,98.0,0.58333,0,0.49402,0.58333,98.0,30.781793,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,8,B,2022-04-01T12:00:00,98.08334,0.58333,0,0.49402,0.58333,98.08334,30.7481,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,9,B,2022-04-01T12:00:00,98.16666,0.58333,0,0.49402,0.58333,98.16666,30.731254,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,10,B,2022-04-01T12:00:00,98.25,0.58333,0,0.49402,0.58333,98.25,30.728324,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,11,B,2022-04-01T12:00:00,98.33334,0.58333,0,0.49402,0.58333,98.33334,30.763482,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,12,B,2022-04-01T12:00:00,98.41666,0.58333,0,0.49402,0.58333,98.41666,30.78985,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,13,B,2022-04-01T12:00:00,98.5,0.58333,0,0.49402,0.58333,98.5,30.814753,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,14,B,2022-04-01T12:00:00,98.58334,0.58333,0,0.49402,0.58333,98.58334,30.859432,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,15,B,2022-04-01T12:00:00,98.66666,0.58333,0,0.49402,0.58333,98.66666,30.929746,633324
