Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],zos [m]
global-analysis-forecast-phy-001-024_1650864402975.nc,1,B,2022-04-01T12:00:00,97.5,0.58333,0,0.58333,97.5,633324,0.51973
global-analysis-forecast-phy-001-024_1650864402975.nc,2,B,2022-04-01T12:00:00,97.58334,0.58333,0,0.58333,97.58334,633324,0.520951
global-analysis-forecast-phy-001-024_1650864402975.nc,3,B,2022-04-01T12:00:00,97.66666,0.58333,0,0.58333,97.66666,633324,0.522782
global-analysis-forecast-phy-001-024_1650864402975.nc,6,B,2022-04-01T12:00:00,97.91666,0.58333,0,0.58333,97.91666,633324,0.527055
global-analysis-forecast-phy-001-024_1650864402975.nc,7,B,2022-04-01T12:00:00,98.0,0.58333,0,0.58333,98.0,633324,0.52797
global-analysis-forecast-phy-001-024_1650864402975.nc,8,B,2022-04-01T12:00:00,98.08334,0.58333,0,0.58333,98.08334,633324,0.528581
global-analysis-forecast-phy-001-024_1650864402975.nc,9,B,2022-04-01T12:00:00,98.16666,0.58333,0,0.58333,98.16666,633324,0.529191
global-analysis-forecast-phy-001-024_1650864402975.nc,10,B,2022-04-01T12:00:00,98.25,0.58333,0,0.58333,98.25,633324,0.530107
global-analysis-forecast-phy-001-024_1650864402975.nc,11,B,2022-04-01T12:00:00,98.33334,0.58333,0,0.58333,98.33334,633324,0.531022
global-analysis-forecast-phy-001-024_1650864402975.nc,12,B,2022-04-01T12:00:00,98.41666,0.58333,0,0.58333,98.41666,633324,0.532243
global-analysis-forecast-phy-001-024_1650864402975.nc,13,B,2022-04-01T12:00:00,98.5,0.58333,0,0.58333,98.5,633324,0.533769
global-analysis-forecast-phy-001-024_1650864402975.nc,14,B,2022-04-01T12:00:00,98.58334,0.58333,0,0.58333,98.58334,633324,0.5356
global-analysis-forecast-phy-001-024_1650864402975.nc,15,B,2022-04-01T12:00:00,98.66666,0.58333,0,0.58333,98.66666,633324,0.537126
global-analysis-forecast-phy-001-024_1650864402975.nc,16,B,2022-04-01T12:00:00,98.75,0.58333,0,0.58333,98.75,633324,0.538347
global-analysis-forecast-phy-001-024_1650864402975.nc,17,B,2022-04-01T12:00:00,98.83334,0.58333,0,0.58333,98.83334,633324,0.539567
global-analysis-forecast-phy-001-024_1650864402975.nc,18,B,2022-04-01T12:00:00,98.91666,0.58333,0,0.58333,98.91666,633324,0.540483
global-analysis-forecast-phy-001-024_1650864402975.nc,19,B,2022-04-01T12:00:00,99.0,0.58333,0,0.58333,99.0,633324,0.541704
global-analysis-forecast-phy-001-024_1650864402975.nc,20,B,2022-04-01T12:00:00,99.08334,0.58333,0,0.58333,99.08334,633324,0.543229
global-analysis-forecast-phy-001-024_1650864402975.nc,21,B,2022-04-01T12:00:00,97.5,0.66667,0,0.66667,97.5,633324,0.51912
global-analysis-forecast-phy-001-024_1650864402975.nc,22,B,2022-04-01T12:00:00,97.58334,0.66667,0,0.66667,97.58334,633324,0.520035
global-analysis-forecast-phy-001-024_1650864402975.nc,23,B,2022-04-01T12:00:00,97.66666,0.66667,0,0.66667,97.66666,633324,0.522172
global-analysis-forecast-phy-001-024_1650864402975.nc,26,B,2022-04-01T12:00:00,97.91666,0.66667,0,0.66667,97.91666,633324,0.528581
global-analysis-forecast-phy-001-024_1650864402975.nc,27,B,2022-04-01T12:00:00,98.0,0.66667,0,0.66667,98.0,633324,0.528581
global-analysis-forecast-phy-001-024_1650864402975.nc,28,B,2022-04-01T12:00:00,98.08334,0.66667,0,0.66667,98.08334,633324,0.529496
global-analysis-forecast-phy-001-024_1650864402975.nc,29,B,2022-04-01T12:00:00,98.16666,0.66667,0,0.66667,98.16666,633324,0.530107
global-analysis-forecast-phy-001-024_1650864402975.nc,30,B,2022-04-01T12:00:00,98.25,0.66667,0,0.66667,98.25,633324,0.530717
global-analysis-forecast-phy-001-024_1650864402975.nc,31,B,2022-04-01T12:00:00,98.33334,0.66667,0,0.66667,98.33334,633324,0.531632
global-analysis-forecast-phy-001-024_1650864402975.nc,32,B,2022-04-01T12:00:00,98.41666,0.66667,0,0.66667,98.41666,633324,0.532548
global-analysis-forecast-phy-001-024_1650864402975.nc,33,B,2022-04-01T12:00:00,98.5,0.66667,0,0.66667,98.5,633324,0.534379
global-analysis-forecast-phy-001-024_1650864402975.nc,34,B,2022-04-01T12:00:00,98.58334,0.66667,0,0.66667,98.58334,633324,0.535905
global-analysis-forecast-phy-001-024_1650864402975.nc,35,B,2022-04-01T12:00:00,98.66666,0.66667,0,0.66667,98.66666,633324,0.537431
global-analysis-forecast-phy-001-024_1650864402975.nc,36,B,2022-04-01T12:00:00,98.75,0.66667,0,0.66667,98.75,633324,0.538347
global-analysis-forecast-phy-001-024_1650864402975.nc,37,B,2022-04-01T12:00:00,98.83334,0.66667,0,0.66667,98.83334,633324,0.538957
global-analysis-forecast-phy-001-024_1650864402975.nc,38,B,2022-04-01T12:00:00,98.91666,0.66667,0,0.66667,98.91666,633324,0.539872
global-analysis-forecast-phy-001-024_1650864402975.nc,39,B,2022-04-01T12:00:00,99.0,0.66667,0,0.66667,99.0,633324,0.541093
global-analysis-forecast-phy-001-024_1650864402975.nc,41,B,2022-04-01T12:00:00,97.5,0.75,0,0.75,97.5,633324,0.518815
global-analysis-forecast-phy-001-024_1650864402975.nc,42,B,2022-04-01T12:00:00,97.58334,0.75,0,0.75,97.58334,633324,0.520951
global-analysis-forecast-phy-001-024_1650864402975.nc,46,B,2022-04-01T12:00:00,97.91666,0.75,0,0.75,97.91666,633324,0.529496
global-analysis-forecast-phy-001-024_1650864402975.nc,47,B,2022-04-01T12:00:00,98.0,0.75,0,0.75,98.0,633324,0.528886
global-analysis-forecast-phy-001-024_1650864402975.nc,48,B,2022-04-01T12:00:00,98.08334,0.75,0,0.75,98.08334,633324,0.530107
global-analysis-forecast-phy-001-024_1650864402975.nc,49,B,2022-04-01T12:00:00,98.16666,0.75,0,0.75,98.16666,633324,0.531022
global-analysis-forecast-phy-001-024_1650864402975.nc,50,B,2022-04-01T12:00:00,98.25,0.75,0,0.75,98.25,633324,0.531632
global-analysis-forecast-phy-001-024_1650864402975.nc,51,B,2022-04-01T12:00:00,98.33334,0.75,0,0.75,98.33334,633324,0.532548
global-analysis-forecast-phy-001-024_1650864402975.nc,52,B,2022-04-01T12:00:00,98.41666,0.75,0,0.75,98.41666,633324,0.533464
global-analysis-forecast-phy-001-024_1650864402975.nc,53,B,2022-04-01T12:00:00,98.5,0.75,0,0.75,98.5,633324,0.534989
global-analysis-forecast-phy-001-024_1650864402975.nc,54,B,2022-04-01T12:00:00,98.58334,0.75,0,0.75,98.58334,633324,0.53621
global-analysis-forecast-phy-001-024_1650864402975.nc,55,B,2022-04-01T12:00:00,98.66666,0.75,0,0.75,98.66666,633324,0.537431
global-analysis-forecast-phy-001-024_1650864402975.nc,56,B,2022-04-01T12:00:00,98.75,0.75,0,0.75,98.75,633324,0.538041
global-analysis-forecast-phy-001-024_1650864402975.nc,57,B,2022-04-01T12:00:00,98.83334,0.75,0,0.75,98.83334,633324,0.538347
global-analysis-forecast-phy-001-024_1650864402975.nc,58,B,2022-04-01T12:00:00,98.91666,0.75,0,0.75,98.91666,633324,0.539262
global-analysis-forecast-phy-001-024_1650864402975.nc,59,B,2022-04-01T12:00:00,99.0,0.75,0,0.75,99.0,633324,0.540483
global-analysis-forecast-phy-001-024_1650864402975.nc,61,B,2022-04-01T12:00:00,97.5,0.83333,0,0.83333,97.5,633324,0.518815
